bin_start,bin_end,average_confidence,accuracy,count
0.13333333333333333,0.2,0.18215822,0.0,3
0.2,0.26666666666666666,0.24355292,0.14634146341463414,41
0.26666666666666666,0.3333333333333333,0.30585662,0.2,250
0.3333333333333333,0.4,0.3677309,0.2577962577962578,481
0.4,0.4666666666666667,0.4340199,0.23723723723723725,666
0.4666666666666667,0.5333333333333333,0.5019749,0.27752808988764044,890
0.5333333333333333,0.6,0.5656059,0.3402439024390244,820
0.6,0.6666666666666666,0.63345623,0.31645569620253167,790
0.6666666666666666,0.7333333333333333,0.69896305,0.3573407202216066,722
0.7333333333333333,0.8,0.76830167,0.33579335793357934,813
0.8,0.8666666666666667,0.8333299,0.40563991323210413,922
0.8666666666666667,0.9333333333333333,0.9018712,0.4602888086642599,1108
0.9333333333333333,1.0,0.9768217,0.6162790697674418,2494
