bin_start,bin_end,average_confidence,accuracy,count
0.0,0.06666666666666667,0.043424997,0.18118466898954705,574
0.06666666666666667,0.13333333333333333,0.098528996,0.3087400681044268,881
0.13333333333333333,0.2,0.166785,0.44814814814814813,810
0.2,0.26666666666666666,0.23402607,0.5342281879194631,745
0.26666666666666666,0.3333333333333333,0.29919437,0.6228868660598179,769
0.3333333333333333,0.4,0.36647037,0.7479253112033195,964
0.4,0.4666666666666667,0.4336531,0.8542986425339366,1105
0.4666666666666667,0.5333333333333333,0.50012916,0.9012810851544838,1327
0.5333333333333333,0.6,0.5652548,0.9336609336609336,1221
0.6,0.6666666666666666,0.63141334,0.9452679589509693,877
0.6666666666666666,0.7333333333333333,0.6963525,0.977366255144033,486
0.7333333333333333,0.8,0.7605652,0.9547738693467337,199
0.8,0.8666666666666667,0.82447904,0.9761904761904762,42
