bin_start,bin_end,average_confidence,accuracy,count
0.0,0.06666666666666667,0.041792434,0.21199143468950749,934
0.06666666666666667,0.13333333333333333,0.098282784,0.3130841121495327,856
0.13333333333333333,0.2,0.16470459,0.37755102040816324,588
0.2,0.26666666666666666,0.23162983,0.4228187919463087,447
0.26666666666666666,0.3333333333333333,0.29828274,0.4908616187989556,383
0.3333333333333333,0.4,0.36424783,0.5757575757575758,330
0.4,0.4666666666666667,0.43390304,0.6238244514106583,319
0.4666666666666667,0.5333333333333333,0.4999563,0.6758409785932722,327
0.5333333333333333,0.6,0.5683558,0.6925373134328359,335
0.6,0.6666666666666666,0.6339283,0.7038123167155426,341
0.6666666666666666,0.7333333333333333,0.7017881,0.8059299191374663,371
0.7333333333333333,0.8,0.7683567,0.7995391705069125,434
0.8,0.8666666666666667,0.83342975,0.8671726755218216,527
0.8666666666666667,0.9333333333333333,0.9031194,0.8573113207547169,848
0.9333333333333333,1.0,0.98114246,0.9408783783783784,2960
