bin_start,bin_end,average_confidence,accuracy,count
0.0,0.06666666666666667,0.047653936,0.1541095890410959,292
0.06666666666666667,0.13333333333333333,0.0989409,0.24224806201550386,516
0.13333333333333333,0.2,0.16542147,0.3680851063829787,470
0.2,0.26666666666666666,0.23232485,0.4034229828850856,409
0.26666666666666666,0.3333333333333333,0.2997703,0.46596858638743455,382
0.3333333333333333,0.4,0.36702913,0.5013623978201635,367
0.4,0.4666666666666667,0.43381557,0.5463659147869674,399
0.4666666666666667,0.5333333333333333,0.50035363,0.6441558441558441,385
0.5333333333333333,0.6,0.5678316,0.6760869565217391,460
0.6,0.6666666666666666,0.63518673,0.7804878048780488,574
0.6666666666666666,0.7333333333333333,0.70212066,0.8208333333333333,720
0.7333333333333333,0.8,0.77077675,0.8716452742123687,857
0.8,0.8666666666666667,0.83596873,0.9084561675717611,1289
0.8666666666666667,0.9333333333333333,0.90058666,0.93608029582673,1893
0.9333333333333333,1.0,0.95478487,0.961499493414387,987
