bin_start,bin_end,average_confidence,accuracy,count
0.3333333333333333,0.4,0.35326552,0.0,2
0.4,0.4666666666666667,0.43214023,0.4444444444444444,9
0.4666666666666667,0.5333333333333333,0.5067905,0.5294117647058824,34
0.5333333333333333,0.6,0.5662118,0.4444444444444444,54
0.6,0.6666666666666666,0.6359061,0.45454545454545453,33
0.6666666666666666,0.7333333333333333,0.69903225,0.515625,64
0.7333333333333333,0.8,0.76696205,0.4838709677419355,62
0.8,0.8666666666666667,0.8366759,0.4948453608247423,97
0.8666666666666667,0.9333333333333333,0.90090275,0.6307692307692307,130
0.9333333333333333,1.0,0.9975723,0.9654230162900683,9515
