bin_start,bin_end,average_confidence,accuracy,count
0.2,0.26666666666666666,0.23545332,0.0,3
0.26666666666666666,0.3333333333333333,0.3073707,0.20833333333333334,24
0.3333333333333333,0.4,0.36831972,0.1694915254237288,59
0.4,0.4666666666666667,0.43461737,0.3300970873786408,103
0.4666666666666667,0.5333333333333333,0.50435925,0.368,250
0.5333333333333333,0.6,0.56529737,0.4022038567493113,363
0.6,0.6666666666666666,0.63328505,0.45321637426900585,342
0.6666666666666666,0.7333333333333333,0.7003139,0.4832904884318766,389
0.7333333333333333,0.8,0.766183,0.502262443438914,442
0.8,0.8666666666666667,0.83509165,0.5327102803738317,535
0.8666666666666667,0.9333333333333333,0.9038443,0.6121134020618557,776
0.9333333333333333,1.0,0.9905486,0.8668453976764968,6714
