bin_start,bin_end,average_confidence,accuracy,count
0.2,0.26666666666666666,0.244644,0.0,3
0.26666666666666666,0.3333333333333333,0.31233764,0.0,3
0.3333333333333333,0.4,0.37412462,0.34782608695652173,23
0.4,0.4666666666666667,0.44028717,0.3829787234042553,47
0.4666666666666667,0.5333333333333333,0.503431,0.424,125
0.5333333333333333,0.6,0.566563,0.4117647058823529,136
0.6,0.6666666666666666,0.6331461,0.4878048780487805,123
0.6666666666666666,0.7333333333333333,0.70096356,0.5342465753424658,146
0.7333333333333333,0.8,0.76745164,0.6077348066298343,181
0.8,0.8666666666666667,0.8350545,0.6885964912280702,228
0.8666666666666667,0.9333333333333333,0.9034552,0.6815642458100558,358
0.9333333333333333,1.0,0.99536157,0.9667323519183957,8627
