bin_start,bin_end,average_confidence,accuracy,count
0.3333333333333333,0.4,0.378682,0.3333333333333333,6
0.4,0.4666666666666667,0.43335927,0.2222222222222222,18
0.4666666666666667,0.5333333333333333,0.5117157,0.5154639175257731,194
0.5333333333333333,0.6,0.56445694,0.5763358778625954,262
0.6,0.6666666666666666,0.6343351,0.6787003610108303,277
0.6666666666666666,0.7333333333333333,0.6998596,0.7439613526570048,207
0.7333333333333333,0.8,0.7662864,0.8135593220338984,177
0.8,0.8666666666666667,0.83436584,0.8186813186813187,182
0.8666666666666667,0.9333333333333333,0.8999495,0.8834080717488789,223
0.9333333333333333,1.0,0.9959934,0.987698131062219,8454
