bin_start,bin_end,average_confidence,accuracy,count
0.0,0.06666666666666667,0.04519898,0.19382022471910113,356
0.06666666666666667,0.13333333333333333,0.0986077,0.2807017543859649,627
0.13333333333333333,0.2,0.16684404,0.3895870736086176,557
0.2,0.26666666666666666,0.23281723,0.4340659340659341,546
0.26666666666666666,0.3333333333333333,0.29977077,0.4933837429111531,529
0.3333333333333333,0.4,0.36495784,0.5520833333333334,480
0.4,0.4666666666666667,0.43556854,0.6523605150214592,466
0.4666666666666667,0.5333333333333333,0.50031155,0.6311926605504588,545
0.5333333333333333,0.6,0.5667821,0.7580071174377224,562
0.6,0.6666666666666666,0.6354746,0.804093567251462,684
0.6666666666666666,0.7333333333333333,0.7006262,0.8697674418604651,860
0.7333333333333333,0.8,0.7672391,0.9220103986135182,1154
0.8,0.8666666666666667,0.8339509,0.9545829892650702,1211
0.8666666666666667,0.9333333333333333,0.8974419,0.9675785207700102,987
0.9333333333333333,1.0,0.962062,0.9931192660550459,436
